"id","collection_id","element_id","element_type"
"2307","41","6827","Film"
"2310","4","7198","Film"
"2311","12","7198","Film"
"2312","23","7200","Film"
"2314","17","5338","Film"
"2315","4","15295","Book"
"2316","9","7208","Film"
"2317","27","7211","Film"
"2318","44","7214","Film"
"2319","53","7214","Film"
"2321","12","7217","Film"
"2322","5","7233","Film"
"2323","21","8615","Film"
"2325","21","3639","Film"
"2326","21","8072","Film"
"2327","21","35","Film"
"2328","21","8616","Film"
"2329","21","8617","Film"
"2330","21","8618","Film"
"2331","21","8619","Film"
"2333","30","7237","Film"
"2334","4","7238","Film"
"2335","27","7241","Film"
"2336","12","7250","Film"
"2338","9","7252","Film"
"2341","27","7257","Film"
"2342","10","7258","Film"
"2343","40","8621","Film"
"2344","54","8622","Film"
"2345","43","7273","Film"
"2346","33","7275","Film"
"2347","54","7276","Film"
"2348","51","7277","Film"
"2350","2","7279","Film"
"2351","29","7280","Film"
"2352","25","7281","Film"
"2354","16","7289","Film"
"2355","39","7290","Film"
"2356","17","7292","Film"
"2359","9","8629","Film"
"2360","37","7307","Film"
"2361","54","7312","Film"
"2362","16","7314","Film"
"2363","24","8634","Film"
"2365","26","8635","Film"
"2366","47","7322","Film"
"2368","25","7325","Film"
"2369","12","8636","Film"
"2370","26","3356","Film"
"2371","24","8638","Film"
"2373","3","8639","Film"
"2374","12","7827","Film"
"2375","12","7826","Film"
"2376","16","7339","Film"
"2377","26","7339","Film"
"2378","1","7345","Film"
"2379","10","49","Film"
"2380","16","7353","Film"
"2382","9","7358","Film"
"2383","39","7360","Film"
"2384","41","7360","Film"
"2386","36","7364","Film"
"2387","12","7367","Film"
"2388","24","7368","Film"
"2390","3","7371","Film"
"2391","27","7377","Film"
"2392","3","7377","Film"
"2393","9","7384","Film"
"2394","3","7390","Film"
"2395","43","4314","Film"
"2398","50","6343","Film"
"2399","46","6343","Film"
"2400","17","3301","Film"
"2401","46","5335","Film"
"2402","1","7119","Film"
"2403","23","7142","Film"
"2404","1","7120","Film"
"2406","1","7100","Film"
"2407","1","7121","Film"
"2408","1","7129","Film"
"2409","46","1292","Film"
"2410","23","2135","Film"
"2411","1","7123","Film"
"2412","10","7412","Film"
"2413","51","6575","Film"
"2415","1","7415","Film"
"2416","45","7867","Film"
"2417","23","8649","Film"
"2418","36","8649","Film"
"2419","12","7094","Film"
"2420","42","7445","Film"
"2421","42","4924","Film"
"2422","51","7447","Film"
"2423","4","7395","Film"
"2424","2","8367","Film"
"2425","38","5000","Film"
"2426","43","7458","Film"
"2427","10","7471","Film"
"2428","3","1037","Film"
"2429","1","7116","Film"
"2430","43","8650","Film"
"2431","43","8361","Film"
"2432","40","8361","Film"
"2433","12","1608","Film"
"2434","10","1608","Film"
"2435","49","7478","Film"
"2436","43","7478","Film"
"2437","2","5140","Film"
"2438","21","7482","Film"
"2439","2","7422","Film"
"2440","2","7416","Film"
"2442","21","7481","Film"
"2443","10","1147","Film"
"2445","10","7493","Film"
"2446","13","7431","Film"
"2447","32","7431","Film"
"2449","9","7430","Film"
"2450","43","7507","Film"
"2451","54","1314","Film"
"2452","1","1659","Film"
"2453","26","6178","Film"
"2454","33","6690","Film"
"2457","10","5928","Film"
"2459","16","4653","Film"
"2460","40","3631","Film"
"2461","33","5935","Film"
"2462","30","3633","Film"
"2464","9","2880","Film"
"2465","56","2880","Film"
"2466","12","2626","Film"
"2467","24","2626","Film"
"2468","46","3657","Film"
"2469","20","5704","Film"
"2470","19","5704","Film"
"2472","12","7417","Film"
"2473","3","7417","Film"
"2474","55","7436","Film"
"2475","3","7621","Film"
"2476","46","1855","Film"
"2477","20","7515","Film"
"2478","19","7515","Film"
"2480","12","131","Film"
"2481","21","7530","Film"
"2482","19","7522","Film"
"2483","20","7522","Film"
"2484","33","1721","Film"
"2487","12","1309","Film"
"2488","42","1309","Film"
"2489","22","7531","Film"
"2490","17","3989","Film"
"2491","53","6052","Film"
"2492","23","7534","Film"
"2493","23","7536","Film"
"2494","1","7452","Film"
"2495","19","2982","Film"
"2496","2","2982","Film"
