"id","element_id","element_type","relation_id","to_id","to_type"
"33786","18673","Book","2","19814","Book"
"33787","19814","Book","1","18915","Book"
"33788","18915","Book","2","19814","Book"
"33789","19814","Book","1","19120","Book"
"33790","19120","Book","2","19814","Book"
"33791","19814","Book","1","19161","Book"
"33792","19161","Book","2","19814","Book"
"33793","19814","Book","1","19682","Book"
"33794","19682","Book","2","19814","Book"
"33795","19814","Book","1","19683","Book"
"33796","19683","Book","2","19814","Book"
"33797","19814","Book","1","19684","Book"
"33798","19684","Book","2","19814","Book"
"33799","19814","Book","1","16940","Book"
"33800","16940","Book","2","19814","Book"
"33801","19814","Book","1","592","Book"
"33802","592","Book","2","19814","Book"
"33803","19814","Book","1","3978","Book"
"33804","3978","Book","2","19814","Book"
"33805","19814","Book","1","5002","Book"
"33806","5002","Book","2","19814","Book"
"33807","19816","Book","1","309","Book"
"33808","309","Book","2","19816","Book"
"33809","19816","Book","1","9766","Book"
"33810","9766","Book","2","19816","Book"
"33811","19816","Book","1","181","Book"
"33812","181","Book","2","19816","Book"
"33813","19817","Book","1","309","Book"
"33814","309","Book","2","19817","Book"
"33815","19817","Book","1","9766","Book"
"33816","9766","Book","2","19817","Book"
"33817","19817","Book","1","181","Book"
"33818","181","Book","2","19817","Book"
"33819","19817","Book","1","19816","Book"
"33820","19816","Book","2","19817","Book"
"33821","19818","Book","1","309","Book"
"33822","309","Book","2","19818","Book"
"33823","19818","Book","1","9766","Book"
"33824","9766","Book","2","19818","Book"
"33825","19818","Book","1","181","Book"
"33826","181","Book","2","19818","Book"
"33827","19818","Book","1","19816","Book"
"33828","19816","Book","2","19818","Book"
"33829","19818","Book","1","19817","Book"
"33830","19817","Book","2","19818","Book"
