"id","person_id","genre_id","weight","element_type"
"364","3110","6","1","Book"
"365","9255","15","1","Book"
"366","9255","7","1","Book"
"367","3448","5","1","Book"
"368","4593","10","1","Book"
"369","773","4","3","Book"
"370","773","7","1","Book"
"371","7163","7","3","Book"
"372","4796","6","7","Book"
"373","4790","3","4","Book"
"374","4790","7","1","Book"
"375","831","3","1","Book"
"376","4765","5","11","Book"
"377","4765","7","8","Book"
"378","4765","4","4","Book"
"379","1146","6","1","Book"
"380","3496","6","1","Book"
"381","5950","6","1","Book"
"382","5695","3","1","Book"
"383","9127","11","1","Book"
"384","9127","9","1","Book"
"385","9127","7","1","Book"
"386","653","2","1","Book"
"387","376","2","2","Book"
"388","376","9","2","Book"
"389","376","10","1","Book"
"390","334","3","3","Book"
"391","8663","6","2","Book"
"392","8663","7","1","Book"
"393","5153","7","1","Book"
"394","1997","7","5","Book"
"395","9976","5","1","Book"
"396","9976","7","1","Book"
"397","9976","14","1","Book"
"398","2437","3","1","Book"
"399","711","12","1","Book"
"400","711","8","1","Book"
"401","855","3","6","Book"
"402","855","6","2","Book"
"403","855","2","1","Book"
"404","2705","7","2","Book"
"405","5583","7","7","Book"
"406","2134","2","11","Book"
"407","2134","13","3","Book"
"408","2134","10","2","Book"
"409","13211","6","1","Book"
"410","2139","4","2","Book"
"411","9232","15","1","Book"
"412","9232","3","1","Book"
"413","9232","7","1","Book"
"414","17254","15","1","Book"
"415","17254","7","1","Book"
"416","5826","4","8","Book"
"417","5826","6","8","Book"
"418","7694","7","10","Book"
"419","7162","7","93","Book"
"420","7162","8","3","Book"
"421","7162","6","3","Book"
"422","14527","15","1","Book"
"423","14527","7","1","Book"
"424","6770","7","86","Book"
"425","6770","3","1","Book"
"426","7334","1","1","Book"
"427","5555","4","6","Book"
"428","5555","3","1","Book"
"429","5555","5","1","Book"
"430","2363","7","26","Book"
"431","7145","6","1","Book"
"432","8269","7","44","Book"
"433","8269","2","3","Book"
"434","8269","15","1","Book"
"435","17658","15","1","Book"
"436","17658","7","1","Book"
"437","13490","15","4","Book"
"438","13490","7","4","Book"
"439","3907","3","33","Book"
"440","3907","10","5","Book"
"441","3907","6","3","Book"
"442","1771","2","27","Book"
"443","1771","6","3","Book"
"444","7547","4","13","Book"
"445","5884","3","29","Book"
"446","5884","4","29","Book"
"447","2794","7","2","Book"
"448","16750","7","1","Book"
"449","6279","6","2","Book"
"450","6279","2","1","Book"
"451","8905","7","4","Book"
"452","8905","8","1","Book"
"453","1451","7","20","Book"
"454","1451","6","1","Book"
"455","1451","14","1","Book"
"456","1739","2","1","Book"
"457","1739","6","1","Book"
"458","1739","8","1","Book"
"459","3938","7","3","Book"
"460","8629","7","2","Book"
"461","4170","7","1","Book"
"462","3884","2","4","Book"
"463","3884","9","2","Book"
"464","9010","6","1","Book"
"465","2496","3","1","Book"
