"id","person_id","film_id"
"4696","13121","7868"
"4697","16148","7868"
"4698","15882","7868"
"4703","20075","8463"
"4704","20076","8463"
"4705","20077","8463"
"4709","20083","2006"
"4710","14796","2006"
"4711","20084","2006"
"4715","10056","8465"
"4716","10057","8465"
"4717","8522","8465"
"4718","14334","8466"
"4719","2983","8466"
"4720","2864","8466"
"4727","20102","3146"
"4728","20103","3146"
"4729","15492","3146"
"4733","20110","8468"
"4734","20111","8468"
"4735","151","8468"
"4739","20116","8469"
"4740","14637","8469"
"4741","20118","8469"
"4742","4286","5250"
"4743","20121","5250"
"4744","10392","5250"
"4745","20123","8470"
"4746","10279","8470"
"4747","20124","8470"
"4751","20130","8471"
"4752","20131","8471"
"4753","20132","8471"
"4754","20136","8472"
"4755","20137","8472"
"4756","8831","8472"
"4757","20141","6037"
"4758","20142","6037"
"4759","20143","6037"
"4761","11617","8476"
"4762","15602","8476"
"4763","20163","8476"
"4776","10615","8485"
"4777","10393","8485"
"4778","10935","8485"
"4779","3162","8486"
"4780","20226","8486"
"4781","20227","8486"
"4788","14637","8488"
"4789","13358","8488"
"4790","20235","8488"
"4791","12325","8489"
"4792","20239","8489"
"4793","13824","8489"
"4806","16165","8494"
"4807","16167","8494"
"4808","20271","8494"
"4809","20281","8495"
"4810","8167","8495"
"4811","20282","8495"
"4812","9244","8496"
"4813","20291","8496"
"4814","11354","8496"
"4818","2536","8497"
"4819","7784","8497"
"4820","11208","8497"
"4821","15471","8498"
"4822","15473","8498"
"4823","18516","8498"
"4824","20302","8499"
"4825","20303","8499"
"4826","20304","8499"
"4830","20314","8500"
"4831","15602","8500"
"4832","18402","8500"
"4836","5217","8502"
"4837","20328","8502"
"4838","16955","8502"
"4842","6972","8503"
"4843","7500","8503"
"4844","20329","8503"
"4855","20363","8508"
"4856","19989","8508"
"4857","20364","8508"
"4861","20371","8509"
"4862","19775","8509"
"4863","20372","8509"
"4880","16929","8512"
"4881","16930","8512"
"4882","20394","8512"
"4886","16929","8513"
"4887","16930","8513"
"4888","20401","8513"
"4889","16929","8514"
"4890","16930","8514"
"4891","19957","8514"
"4898","10900","256"
"4899","20422","256"
"4900","20424","256"
"4901","20428","5120"
"4902","20429","5120"
"4903","20427","5120"
"4907","16190","7081"
"4908","16986","7081"
"4909","20433","7081"
"4910","20436","7082"
"4911","1232","7082"
"4912","20437","7082"
"4913","9112","7083"
"4914","20446","7083"
"4915","20447","7083"
"4916","20452","7087"
"4917","20453","7087"
"4918","20454","7087"
"4919","3005","6455"
"4920","14023","6455"
"4921","16846","6455"
"4925","20463","6405"
"4926","2470","6405"
"4927","13122","6405"
"4931","11811","2410"
"4932","11812","2410"
"4933","13278","2410"
"4934","20467","7093"
"4935","20468","7093"
"4936","20469","7093"
"4940","13411","2508"
"4941","13412","2508"
"4942","3000","2508"
"4943","1995","23"
"4944","10361","23"
"4945","20481","23"
"4946","20486","7055"
"4947","11032","7055"
"4948","11129","7055"
"4949","11447","210"
"4950","12515","210"
"4951","19495","210"
"4955","20491","7104"
"4956","20492","7104"
"4957","9157","7104"
"4958","20496","7105"
"4959","20497","7105"
"4960","12752","7105"
"4973","20521","7107"
"4974","20522","7107"
"4975","20523","7107"
"4976","5211","7108"
"4977","9164","7108"
"4978","9165","7108"
"4985","10436","8516"
"4986","20534","8516"
"4987","13617","8516"
"4991","20536","7109"
"4992","20537","7109"
"4993","20538","7109"
"5000","16846","5695"
"5001","7241","5695"
"5002","16847","5695"
"5003","14678","2709"
"5004","6767","2709"
"5005","2895","2709"
"5018","11966","2747"
"5019","20557","2747"
"5020","20558","2747"
"5021","20562","5438"
"5022","1045","5438"
"5023","10057","5438"
"5030","20571","4675"
"5031","19356","4675"
"5032","20572","4675"
"5036","4898","2254"
"5037","20574","2254"
"5038","3200","524"
"5039","13419","524"
"5040","20580","524"
"5041","4296","5096"
"5042","497","5096"
"5043","18175","5096"
"5044","20586","3704"
"5045","3434","3704"
"5046","2842","3704"
"5062","20598","3546"
"5063","5992","3546"
"5064","11985","3546"
"5065","4964","2756"
"5066","20602","2756"
"5067","20603","2756"
"5071","15185","4515"
"5072","15187","4515"
"5073","20605","4515"
"5076","13425","320"
"5077","13761","320"
"5078","3000","320"
"5079","20617","3612"
"5080","15963","3612"
"5081","20618","3612"
"5082","20624","6582"
"5083","20625","6582"
"5084","20626","6582"
"5085","4898","5263"
"5086","14282","5263"
"5087","11063","2376"
"5088","20631","2376"
"5089","20632","2376"
"5090","15318","751"
"5091","14634","751"
"5092","20634","751"
"5093","20635","6769"
"5094","11490","6769"
"5095","19512","6769"
"5096","15839","6645"
"5097","10155","6645"
"5098","8222","6645"
"5099","15839","2915"
"5100","20639","2915"
"5101","11447","2915"
"5102","14538","6514"
"5103","20642","6514"
"5104","11316","6514"
"5105","20646","2724"
"5106","20647","2724"
"5107","20648","2724"
"5111","11032","2993"
"5112","11371","2993"
"5113","19346","2993"
"5114","12015","5601"
"5115","11966","5601"
"5116","3736","5601"
"5117","20666","2240"
"5118","6356","2240"
"5119","10603","2240"
"5120","18062","6156"
"5121","20672","6156"
"5122","20673","6156"
"5123","20677","272"
"5124","3000","272"
"5125","20678","272"
"5145","20691","6203"
"5146","10273","6203"
"5147","20693","6203"
"5154","5609","4857"
"5155","4991","4857"
"5156","20697","4857"
"5157","3963","5514"
"5158","12705","5514"
"5159","14606","5514"
"5160","15069","21"
"5161","2289","21"
"5162","13384","21"
"5164","14054","5182"
"5165","20705","6525"
"5166","14054","6525"
"5167","12934","3757"
"5168","10058","3757"
"5169","20711","3757"
"5170","20715","3531"
"5171","4964","5355"
"5172","12675","5355"
"5173","10130","5355"
"5174","20730","8517"
"5175","20731","8517"
"5176","18842","8517"
"5183","14054","141"
"5184","20740","141"
"5185","1626","141"
"5193","20751","2064"
"5194","20752","2064"
"5195","20753","2064"
"5196","12915","3620"
"5197","10058","3620"
"5198","20756","3620"
"5202","8265","8519"
"5203","12015","8519"
"5204","6559","8519"
"5205","1063","5651"
"5206","3759","5651"
"5207","20763","5651"
"5208","12099","5269"
"5209","10122","5269"
"5210","20772","5269"
"5211","20776","5648"
